"nodeID1";"nodeID2";"friendship";"advice";"id";"discussion"
"1";"87";"0";"1";"1";"1"
"1";"90";"0";"1";"2";"1"
"1";"110";"0";"1";"3";"1"
"2";"11";"0";"1";"4";"0"
"2";"55";"0";"1";"5";"0"
"2";"98";"0";"1";"6";"0"
"3";"20";"0";"1";"7";"1"
"3";"29";"0";"1";"8";"1"
"3";"37";"0";"1";"9";"0"
"4";"33";"1";"1";"10";"1"
"4";"94";"1";"1";"11";"0"
"4";"103";"0";"1";"12";"0"
"5";"52";"0";"1";"13";"0"
"5";"56";"0";"1";"14";"0"
"5";"61";"0";"1";"15";"0"
"6";"29";"0";"1";"16";"1"
"6";"31";"0";"1";"17";"1"
"6";"43";"0";"1";"18";"1"
"7";"23";"0";"1";"19";"0"
"7";"94";"0";"1";"20";"0"
"7";"106";"1";"1";"21";"1"
"8";"36";"0";"1";"22";"1"
"8";"55";"0";"1";"23";"1"
"8";"111";"0";"1";"24";"0"
"9";"3";"0";"1";"25";"0"
"9";"23";"0";"1";"26";"1"
"9";"29";"0";"1";"27";"0"
"10";"5";"0";"1";"28";"0"
"10";"56";"0";"1";"29";"0"
"11";"36";"0";"1";"30";"1"
"12";"31";"1";"1";"31";"0"
"12";"41";"0";"1";"32";"0"
"12";"42";"0";"1";"33";"1"
"13";"20";"0";"1";"34";"1"
"13";"37";"0";"1";"35";"1"
"13";"82";"0";"1";"36";"1"
"14";"3";"0";"1";"37";"0"
"14";"29";"0";"1";"38";"0"
"14";"57";"1";"1";"39";"1"
"15";"29";"0";"1";"40";"1"
"16";"29";"1";"1";"41";"1"
"16";"98";"1";"1";"42";"1"
"17";"11";"1";"1";"43";"1"
"17";"36";"0";"1";"44";"1"
"17";"48";"1";"1";"45";"0"
"18";"49";"0";"1";"46";"0"
"18";"82";"0";"1";"47";"1"
"18";"83";"1";"1";"48";"1"
"19";"36";"0";"1";"49";"1"
"19";"96";"0";"1";"50";"1"
"20";"29";"0";"1";"51";"1"
"20";"37";"1";"1";"52";"1"
"20";"46";"0";"1";"53";"1"
"21";"77";"0";"1";"54";"1"
"22";"23";"1";"1";"55";"1"
"22";"55";"0";"1";"56";"0"
"22";"66";"0";"1";"57";"0"
"23";"22";"1";"1";"58";"1"
"23";"27";"0";"1";"59";"0"
"23";"77";"0";"1";"60";"1"
"24";"29";"0";"1";"61";"0"
"24";"94";"0";"1";"62";"0"
"24";"95";"1";"1";"63";"1"
"25";"26";"0";"1";"64";"0"
"25";"29";"0";"1";"65";"0"
"25";"54";"0";"1";"66";"0"
"26";"11";"0";"1";"67";"0"
"26";"32";"0";"1";"68";"1"
"26";"42";"1";"1";"69";"1"
"27";"92";"0";"1";"70";"1"
"27";"101";"0";"1";"71";"1"
"28";"90";"0";"1";"72";"1"
"28";"98";"0";"1";"73";"1"
"28";"116";"0";"1";"74";"0"
"29";"41";"1";"1";"75";"0"
"29";"46";"0";"1";"76";"0"
"29";"100";"0";"1";"77";"0"
"30";"27";"0";"1";"78";"0"
"30";"90";"0";"1";"79";"1"
"31";"29";"0";"1";"80";"1"
"32";"29";"0";"1";"81";"0"
"32";"55";"1";"1";"82";"1"
"32";"109";"1";"1";"83";"1"
"33";"29";"0";"1";"84";"0"
"33";"31";"0";"1";"85";"0"
"33";"94";"0";"1";"86";"0"
"34";"22";"0";"1";"87";"0"
"34";"103";"1";"1";"88";"1"
"35";"3";"1";"1";"89";"1"
"35";"45";"0";"1";"90";"0"
"35";"46";"0";"1";"91";"0"
"36";"11";"0";"1";"92";"1"
"36";"29";"0";"1";"93";"1"
"36";"94";"0";"1";"94";"1"
"37";"13";"0";"1";"95";"1"
"37";"20";"1";"1";"96";"1"
"37";"46";"1";"1";"97";"0"
"38";"4";"0";"1";"98";"1"
"38";"7";"1";"1";"99";"0"
"38";"106";"1";"1";"100";"1"
"39";"29";"1";"1";"101";"1"
"39";"41";"1";"1";"102";"1"
"40";"44";"1";"1";"103";"1"
"40";"46";"0";"1";"104";"1"
"40";"100";"1";"1";"105";"1"
"41";"36";"0";"1";"106";"1"
"42";"45";"0";"1";"107";"1"
"42";"101";"0";"1";"108";"1"
"42";"102";"1";"1";"109";"1"
"44";"3";"0";"1";"110";"0"
"44";"23";"0";"1";"111";"0"
"44";"31";"1";"1";"112";"1"
"45";"42";"0";"1";"113";"0"
"45";"101";"0";"1";"114";"1"
"46";"43";"0";"1";"115";"0"
"46";"81";"1";"1";"116";"1"
"46";"111";"0";"1";"117";"0"
"47";"46";"0";"1";"118";"1"
"48";"55";"0";"1";"119";"0"
"48";"100";"0";"1";"120";"1"
"49";"56";"0";"1";"121";"1"
"50";"83";"0";"1";"122";"0"
"50";"95";"0";"1";"123";"0"
"51";"40";"0";"1";"124";"0"
"51";"100";"0";"1";"125";"0"
"52";"37";"0";"1";"126";"0"
"52";"98";"0";"1";"127";"0"
"52";"100";"1";"1";"128";"1"
"53";"36";"0";"1";"129";"1"
"53";"55";"0";"1";"130";"0"
"53";"83";"0";"1";"131";"0"
"54";"56";"0";"1";"132";"1"
"55";"11";"0";"1";"133";"0"
"55";"28";"0";"1";"134";"1"
"55";"41";"1";"1";"135";"1"
"56";"31";"0";"1";"136";"0"
"56";"68";"0";"1";"137";"0"
"56";"94";"0";"1";"138";"1"
"57";"29";"0";"1";"139";"1"
"57";"31";"0";"1";"140";"1"
"57";"46";"0";"1";"141";"0"
"58";"11";"0";"1";"142";"1"
"58";"83";"0";"1";"143";"0"
"58";"111";"1";"1";"144";"1"
"59";"45";"0";"1";"145";"1"
"59";"101";"0";"1";"146";"1"
"60";"3";"0";"1";"147";"0"
"60";"45";"0";"1";"148";"1"
"60";"81";"0";"1";"149";"1"
"61";"67";"0";"1";"150";"1"
"61";"83";"0";"1";"151";"1"
"61";"110";"0";"1";"152";"1"
"62";"102";"0";"1";"153";"0"
"63";"104";"0";"1";"154";"1"
"63";"111";"0";"1";"155";"1"
"64";"46";"0";"1";"156";"0"
"64";"55";"0";"1";"157";"0"
"64";"100";"0";"1";"158";"0"
"65";"51";"0";"1";"159";"0"
"65";"52";"0";"1";"160";"0"
"66";"28";"0";"1";"161";"1"
"66";"55";"0";"1";"162";"0"
"66";"95";"0";"1";"163";"1"
"67";"87";"0";"1";"164";"0"
"67";"93";"0";"1";"165";"0"
"67";"110";"0";"1";"166";"1"
"68";"87";"0";"1";"167";"0"
"68";"89";"0";"1";"168";"0"
"68";"104";"0";"1";"169";"0"
"69";"43";"0";"1";"170";"1"
"69";"103";"0";"1";"171";"0"
"73";"57";"0";"1";"172";"1"
"75";"29";"0";"1";"173";"0"
"75";"94";"0";"1";"174";"0"
"76";"11";"0";"1";"175";"0"
"76";"27";"0";"1";"176";"1"
"76";"36";"0";"1";"177";"1"
"77";"22";"0";"1";"178";"1"
"77";"23";"0";"1";"179";"1"
"77";"27";"0";"1";"180";"1"
"78";"1";"0";"1";"181";"1"
"78";"22";"0";"1";"182";"1"
"78";"27";"0";"1";"183";"1"
"79";"18";"0";"1";"184";"0"
"79";"29";"0";"1";"185";"0"
"79";"31";"0";"1";"186";"0"
"80";"29";"0";"1";"187";"0"
"80";"36";"0";"1";"188";"1"
